lead_id,created_date,lead_source,company_size,industry,sales_rep,current_stage,mql_date,demo_booked_date,days_mql_to_demo_booked,demo_completed_date,trial_start_date,closed_date,deal_value,churned
L-0021,3/9/2026,Paid Ads,SMB (11-50),SaaS,Alex Thompson,Demo Booked,3/14/2026,3/22/2026,8,,,,0,FALSE
L-0022,11/3/2025,Paid Ads,Startup (1-10),Logistics,Alex Thompson,MQL,11/4/2025,,,,,,0,FALSE
L-0023,5/26/2025,Cold Outreach,Startup (1-10),Logistics,Alex Thompson,MQL,5/28/2025,,,,,,0,FALSE
L-0024,5/9/2025,Paid Ads,Startup (1-10),HR Tech,James Chen,Demo Booked,5/14/2025,5/20/2025,6,,,,0,FALSE
L-0025,5/1/2025,Paid Ads,SMB (11-50),SaaS,Priya Patel,MQL,5/2/2025,,,,,,0,FALSE
L-0026,11/3/2025,Paid Ads,Mid-Market (51-200),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0027,7/7/2025,LinkedIn,Mid-Market (51-200),HR Tech,James Chen,MQL,7/8/2025,,,,,,0,FALSE
L-0028,1/25/2026,Organic Search,Mid-Market (51-200),FinTech,Maria Santos,Churned,1/30/2026,1/31/2026,1,2/1/2026,2/6/2026,3/4/2026,19192.25,TRUE
L-0029,7/14/2025,Referral,SMB (11-50),EdTech,Alex Thompson,Demo Completed,7/17/2025,7/24/2025,7,7/26/2025,,,0,FALSE
L-0030,1/1/2026,Cold Outreach,Startup (1-10),HealthTech,Maria Santos,Demo Completed,1/4/2026,1/10/2026,6,1/11/2026,,,0,FALSE
L-0031,9/1/2025,Organic Search,SMB (11-50),FinTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0032,5/25/2025,Paid Ads,Mid-Market (51-200),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-0033,7/14/2025,Paid Ads,Startup (1-10),SaaS,Alex Thompson,Lead,,,,,,,0,FALSE
L-0034,5/18/2025,LinkedIn,SMB (11-50),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-0035,2/21/2026,LinkedIn,Startup (1-10),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-0036,4/5/2025,Paid Ads,SMB (11-50),Logistics,Tom Wilson,MQL,4/7/2025,,,,,,0,FALSE
L-0037,6/5/2025,LinkedIn,SMB (11-50),E-commerce,Priya Patel,MQL,6/8/2025,,,,,,0,FALSE
L-0038,3/16/2026,LinkedIn,Mid-Market (51-200),EdTech,James Chen,Demo Booked,3/17/2026,3/31/2026,14,,,,0,FALSE
L-0039,4/13/2025,Paid Ads,Startup (1-10),E-commerce,Priya Patel,MQL,4/16/2025,,,,,,0,FALSE
L-0040,6/21/2025,Organic Search,Mid-Market (51-200),SaaS,Alex Thompson,Lead,,,,,,,0,FALSE
L-0041,7/12/2025,Paid Ads,Mid-Market (51-200),HR Tech,James Chen,Lead,,,,,,,0,FALSE
L-0042,4/13/2025,Organic Search,SMB (11-50),SaaS,James Chen,Lead,,,,,,,0,FALSE
L-0043,9/27/2025,Organic Search,Startup (1-10),HealthTech,Alex Thompson,MQL,10/1/2025,,,,,,0,FALSE
L-0044,8/12/2025,LinkedIn,SMB (11-50),FinTech,Maria Santos,Demo Completed,8/15/2025,8/25/2025,10,8/25/2025,,,0,FALSE
L-0045,12/23/2025,Organic Search,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-0046,11/7/2025,Organic Search,Mid-Market (51-200),SaaS,Alex Thompson,Closed Lost,11/10/2025,11/11/2025,1,11/13/2025,11/16/2025,,0,FALSE
L-0047,2/10/2026,Paid Ads,Mid-Market (51-200),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-0048,7/17/2025,Organic Search,Mid-Market (51-200),Marketing,Alex Thompson,MQL,7/22/2025,,,,,,0,FALSE
L-0049,11/29/2025,Paid Ads,SMB (11-50),SaaS,Tom Wilson,Lead,,,,,,,0,FALSE
L-0050,12/20/2025,Cold Outreach,Mid-Market (51-200),HealthTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0051,7/25/2025,Referral,Startup (1-10),SaaS,Alex Thompson,Lead,,,,,,,0,FALSE
L-0052,5/8/2025,Paid Ads,Startup (1-10),HR Tech,Tom Wilson,Demo Completed,5/13/2025,5/17/2025,4,5/17/2025,,,0,FALSE
L-0053,6/30/2025,LinkedIn,Enterprise (200+),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-0054,11/20/2025,Referral,SMB (11-50),SaaS,Maria Santos,Demo Completed,11/24/2025,12/6/2025,12,12/9/2025,,,0,FALSE
L-0055,8/11/2025,Organic Search,Enterprise (200+),HR Tech,Priya Patel,Lead,,,,,,,0,FALSE
L-0056,8/19/2025,LinkedIn,Startup (1-10),HR Tech,James Chen,Closed Lost,8/22/2025,9/1/2025,10,9/2/2025,9/8/2025,,0,FALSE
L-0057,11/25/2025,Paid Ads,SMB (11-50),EdTech,Tom Wilson,MQL,11/27/2025,,,,,,0,FALSE
L-0058,10/12/2025,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,Demo Completed,10/15/2025,10/19/2025,4,10/20/2025,,,0,FALSE
L-0059,3/9/2026,Paid Ads,SMB (11-50),Logistics,Alex Thompson,Lead,,,,,,,0,FALSE
L-0060,2/13/2026,Organic Search,Startup (1-10),HR Tech,James Chen,MQL,2/17/2026,,,,,,0,FALSE
L-0061,11/23/2025,Referral,Startup (1-10),Logistics,James Chen,Closed Lost,11/26/2025,11/28/2025,2,12/1/2025,12/8/2025,,0,FALSE
L-0062,7/24/2025,LinkedIn,SMB (11-50),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0063,7/12/2025,LinkedIn,Mid-Market (51-200),FinTech,James Chen,Lead,,,,,,,0,FALSE
L-0064,1/14/2026,Referral,Startup (1-10),HR Tech,Maria Santos,Lead,,,,,,,0,FALSE
L-0065,2/5/2026,Organic Search,Startup (1-10),EdTech,James Chen,MQL,2/6/2026,,,,,,0,FALSE
L-0066,1/20/2026,Paid Ads,SMB (11-50),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0067,1/29/2026,Cold Outreach,SMB (11-50),SaaS,Maria Santos,Lead,,,,,,,0,FALSE
L-0068,6/1/2025,Referral,Startup (1-10),Marketing,Tom Wilson,MQL,6/6/2025,,,,,,0,FALSE
L-0069,12/16/2025,Paid Ads,SMB (11-50),EdTech,Maria Santos,MQL,12/17/2025,,,,,,0,FALSE
L-0070,3/29/2026,LinkedIn,Startup (1-10),EdTech,Priya Patel,MQL,3/31/2026,,,,,,0,FALSE
L-0071,11/10/2025,Cold Outreach,Startup (1-10),HR Tech,Priya Patel,Lead,,,,,,,0,FALSE
L-0072,8/21/2025,Organic Search,SMB (11-50),SaaS,Maria Santos,Lead,,,,,,,0,FALSE
L-0073,4/15/2025,Paid Ads,SMB (11-50),Logistics,Alex Thompson,Demo Completed,4/18/2025,4/28/2025,10,4/30/2025,,,0,FALSE
L-0074,12/7/2025,Organic Search,Startup (1-10),SaaS,Priya Patel,MQL,12/9/2025,,,,,,0,FALSE
L-0075,8/29/2025,Referral,SMB (11-50),FinTech,Maria Santos,Closed Won,8/31/2025,9/3/2025,3,9/5/2025,9/9/2025,9/24/2025,8766.46,FALSE
L-0076,7/20/2025,Paid Ads,Mid-Market (51-200),E-commerce,James Chen,Lead,,,,,,,0,FALSE
L-0077,7/9/2025,Paid Ads,SMB (11-50),Marketing,Maria Santos,Closed Lost,7/12/2025,7/13/2025,1,7/13/2025,7/19/2025,,0,FALSE
L-0078,1/19/2026,Referral,Mid-Market (51-200),HealthTech,Maria Santos,Churned,1/23/2026,1/25/2026,2,1/25/2026,1/29/2026,2/23/2026,36883.37,TRUE
L-0079,8/6/2025,Paid Ads,SMB (11-50),Marketing,Maria Santos,MQL,8/10/2025,,,,,,0,FALSE
L-0080,11/13/2025,LinkedIn,Startup (1-10),Logistics,Priya Patel,MQL,11/18/2025,,,,,,0,FALSE
L-0081,2/15/2026,Paid Ads,Mid-Market (51-200),HealthTech,James Chen,Demo Completed,2/16/2026,2/18/2026,2,2/21/2026,,,0,FALSE
L-0082,3/26/2026,Organic Search,Startup (1-10),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-0083,3/5/2026,Paid Ads,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-0084,8/15/2025,Paid Ads,Startup (1-10),SaaS,James Chen,Lead,,,,,,,0,FALSE
L-0085,1/17/2026,Paid Ads,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-0086,8/18/2025,Organic Search,SMB (11-50),Marketing,Priya Patel,Closed Lost,8/22/2025,9/2/2025,11,9/2/2025,9/8/2025,,0,FALSE
L-0087,4/21/2025,Organic Search,Enterprise (200+),Marketing,Tom Wilson,Lead,,,,,,,0,FALSE
L-0088,7/2/2025,Paid Ads,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0089,9/26/2025,Organic Search,Mid-Market (51-200),HealthTech,Priya Patel,MQL,9/29/2025,,,,,,0,FALSE
L-0090,3/6/2026,LinkedIn,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0091,9/9/2025,LinkedIn,SMB (11-50),HR Tech,Maria Santos,MQL,9/10/2025,,,,,,0,FALSE
L-0092,11/23/2025,Organic Search,SMB (11-50),FinTech,Tom Wilson,Demo Completed,11/25/2025,12/7/2025,12,12/8/2025,,,0,FALSE
L-0093,2/17/2026,Organic Search,Mid-Market (51-200),HealthTech,Maria Santos,MQL,2/19/2026,,,,,,0,FALSE
L-0094,7/25/2025,Paid Ads,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-0095,12/12/2025,Cold Outreach,SMB (11-50),HealthTech,James Chen,Lead,,,,,,,0,FALSE
L-0096,11/28/2025,Paid Ads,Mid-Market (51-200),Logistics,Priya Patel,Demo Booked,12/3/2025,12/5/2025,2,,,,0,FALSE
L-0097,12/16/2025,LinkedIn,Startup (1-10),Logistics,Alex Thompson,Closed Lost,12/17/2025,12/20/2025,3,12/21/2025,12/25/2025,,0,FALSE
L-0098,7/6/2025,Organic Search,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0099,9/10/2025,Paid Ads,SMB (11-50),Logistics,Maria Santos,Lead,,,,,,,0,FALSE
L-0100,12/10/2025,LinkedIn,Mid-Market (51-200),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-0101,11/12/2025,Paid Ads,Enterprise (200+),EdTech,Maria Santos,Demo Booked,11/16/2025,11/27/2025,11,,,,0,FALSE
L-0102,2/14/2026,Paid Ads,Mid-Market (51-200),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-0103,2/15/2026,Referral,Mid-Market (51-200),Logistics,Alex Thompson,MQL,2/19/2026,,,,,,0,FALSE
L-0104,5/17/2025,Paid Ads,Startup (1-10),Marketing,James Chen,MQL,5/18/2025,,,,,,0,FALSE
L-0105,4/15/2025,LinkedIn,Startup (1-10),E-commerce,Alex Thompson,Closed Lost,4/16/2025,4/19/2025,3,4/20/2025,4/21/2025,,0,FALSE
L-0106,6/13/2025,Organic Search,Mid-Market (51-200),HR Tech,Tom Wilson,Closed Lost,6/16/2025,6/28/2025,12,6/29/2025,7/2/2025,,0,FALSE
L-0107,9/2/2025,Paid Ads,Enterprise (200+),Marketing,Priya Patel,MQL,9/6/2025,,,,,,0,FALSE
L-0108,8/30/2025,Paid Ads,SMB (11-50),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0109,4/5/2025,Paid Ads,Enterprise (200+),Logistics,Alex Thompson,Lead,,,,,,,0,FALSE
L-0110,12/11/2025,Referral,Mid-Market (51-200),FinTech,Tom Wilson,Demo Completed,12/14/2025,12/28/2025,14,12/29/2025,,,0,FALSE
L-0111,2/16/2026,Referral,Mid-Market (51-200),E-commerce,Maria Santos,MQL,2/19/2026,,,,,,0,FALSE
L-0112,8/30/2025,Paid Ads,SMB (11-50),E-commerce,Maria Santos,Demo Completed,9/3/2025,9/16/2025,13,9/18/2025,,,0,FALSE
L-0113,9/21/2025,Paid Ads,Mid-Market (51-200),HR Tech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0114,1/11/2026,Organic Search,Startup (1-10),SaaS,Priya Patel,Demo Completed,1/15/2026,1/16/2026,1,1/18/2026,,,0,FALSE
L-0115,11/28/2025,LinkedIn,Enterprise (200+),HealthTech,James Chen,Demo Completed,12/3/2025,12/9/2025,6,12/11/2025,,,0,FALSE
L-0116,12/9/2025,Paid Ads,Startup (1-10),FinTech,Alex Thompson,MQL,12/11/2025,,,,,,0,FALSE
L-0117,6/19/2025,Paid Ads,SMB (11-50),Logistics,Tom Wilson,Lead,,,,,,,0,FALSE
L-0118,4/17/2025,Referral,Mid-Market (51-200),Logistics,Alex Thompson,Closed Won,4/19/2025,4/21/2025,2,4/23/2025,4/26/2025,5/6/2025,46470.32,FALSE
L-0119,9/18/2025,Paid Ads,Startup (1-10),FinTech,Maria Santos,MQL,9/20/2025,,,,,,0,FALSE
L-0120,7/20/2025,Paid Ads,Mid-Market (51-200),SaaS,Tom Wilson,Lead,,,,,,,0,FALSE
L-0121,6/14/2025,Paid Ads,Mid-Market (51-200),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0122,6/7/2025,Organic Search,Mid-Market (51-200),HealthTech,Maria Santos,MQL,6/9/2025,,,,,,0,FALSE
L-0123,12/26/2025,Paid Ads,Startup (1-10),E-commerce,Priya Patel,Demo Completed,12/27/2025,12/30/2025,3,12/31/2025,,,0,FALSE
L-0124,2/24/2026,Paid Ads,Mid-Market (51-200),Marketing,Priya Patel,Lead,,,,,,,0,FALSE
L-0125,3/18/2026,Paid Ads,SMB (11-50),Logistics,Priya Patel,Demo Completed,3/22/2026,4/1/2026,10,4/3/2026,,,0,FALSE
L-0126,12/28/2025,Organic Search,Mid-Market (51-200),Logistics,Tom Wilson,Demo Completed,1/2/2026,1/8/2026,6,1/9/2026,,,0,FALSE
L-0127,10/30/2025,Cold Outreach,SMB (11-50),HR Tech,Priya Patel,Lead,,,,,,,0,FALSE
L-0128,6/18/2025,Paid Ads,SMB (11-50),Marketing,Alex Thompson,Lead,,,,,,,0,FALSE
L-0129,11/8/2025,Organic Search,Startup (1-10),HealthTech,Maria Santos,MQL,11/11/2025,,,,,,0,FALSE
L-0130,10/28/2025,Organic Search,SMB (11-50),EdTech,Maria Santos,MQL,11/1/2025,,,,,,0,FALSE
L-0131,5/24/2025,LinkedIn,Enterprise (200+),Marketing,Alex Thompson,Closed Lost,5/26/2025,6/3/2025,8,6/5/2025,6/8/2025,,0,FALSE
L-0132,3/3/2026,LinkedIn,Mid-Market (51-200),FinTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0133,9/27/2025,Paid Ads,Startup (1-10),Marketing,Alex Thompson,MQL,9/29/2025,,,,,,0,FALSE
L-0134,12/28/2025,Organic Search,Startup (1-10),FinTech,Maria Santos,Churned,1/1/2026,1/3/2026,2,1/3/2026,1/5/2026,1/31/2026,2579.14,TRUE
L-0135,8/18/2025,Organic Search,SMB (11-50),HR Tech,Priya Patel,Demo Completed,8/23/2025,8/27/2025,4,8/30/2025,,,0,FALSE
L-0136,7/14/2025,Paid Ads,Startup (1-10),FinTech,Maria Santos,MQL,7/16/2025,,,,,,0,FALSE
L-0137,12/11/2025,LinkedIn,Startup (1-10),HealthTech,Maria Santos,Closed Lost,12/13/2025,12/15/2025,2,12/17/2025,12/24/2025,,0,FALSE
L-0138,1/20/2026,Organic Search,SMB (11-50),HealthTech,Alex Thompson,MQL,1/24/2026,,,,,,0,FALSE
L-0139,6/27/2025,Organic Search,Startup (1-10),FinTech,Alex Thompson,Lead,,,,,,,0,FALSE
L-0140,11/10/2025,Referral,Mid-Market (51-200),EdTech,Maria Santos,Closed Won,11/12/2025,11/16/2025,4,11/18/2025,11/25/2025,12/18/2025,36996.74,FALSE
L-0141,7/30/2025,Paid Ads,Mid-Market (51-200),EdTech,James Chen,Demo Booked,8/2/2025,8/4/2025,2,,,,0,FALSE
L-0142,2/24/2026,Organic Search,Mid-Market (51-200),HR Tech,Tom Wilson,Demo Completed,3/1/2026,3/4/2026,3,3/6/2026,,,0,FALSE
L-0143,11/23/2025,Organic Search,SMB (11-50),HealthTech,Alex Thompson,Demo Booked,11/24/2025,11/30/2025,6,,,,0,FALSE
L-0144,1/23/2026,Paid Ads,SMB (11-50),Logistics,Priya Patel,Lead,,,,,,,0,FALSE
L-0145,2/28/2026,LinkedIn,Enterprise (200+),HR Tech,Tom Wilson,Demo Booked,3/5/2026,3/7/2026,2,,,,0,FALSE
L-0146,2/25/2026,LinkedIn,Enterprise (200+),HealthTech,Tom Wilson,MQL,2/27/2026,,,,,,0,FALSE
L-0147,10/8/2025,Cold Outreach,SMB (11-50),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-0148,5/4/2025,Organic Search,Mid-Market (51-200),FinTech,Alex Thompson,MQL,5/9/2025,,,,,,0,FALSE
L-0149,5/12/2025,Paid Ads,Mid-Market (51-200),E-commerce,Alex Thompson,Lead,,,,,,,0,FALSE
L-0150,1/30/2026,Paid Ads,SMB (11-50),Logistics,James Chen,Lead,,,,,,,0,FALSE
L-0151,3/10/2026,Paid Ads,SMB (11-50),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-0152,12/17/2025,Cold Outreach,Enterprise (200+),HealthTech,Priya Patel,Demo Completed,12/20/2025,12/30/2025,10,12/31/2025,,,0,FALSE
L-0153,1/2/2026,Paid Ads,Startup (1-10),HealthTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0154,6/7/2025,Cold Outreach,Startup (1-10),EdTech,Tom Wilson,Lead,,,,,,,0,FALSE
L-0155,4/23/2025,Paid Ads,Startup (1-10),E-commerce,Priya Patel,MQL,4/25/2025,,,,,,0,FALSE
L-0156,12/30/2025,Referral,Mid-Market (51-200),HR Tech,James Chen,MQL,1/3/2026,,,,,,0,FALSE
L-0157,8/23/2025,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Lead,,,,,,,0,FALSE
L-0158,2/4/2026,Organic Search,SMB (11-50),E-commerce,James Chen,Churned,2/7/2026,2/11/2026,4,2/11/2026,2/18/2026,3/11/2026,16863.67,TRUE
L-0159,9/26/2025,Organic Search,Enterprise (200+),SaaS,Priya Patel,Lead,,,,,,,0,FALSE
L-0160,10/15/2025,Organic Search,SMB (11-50),EdTech,James Chen,Lead,,,,,,,0,FALSE
L-0161,6/14/2025,Organic Search,Startup (1-10),HealthTech,Alex Thompson,MQL,6/17/2025,,,,,,0,FALSE
L-0162,2/10/2026,Organic Search,Mid-Market (51-200),HR Tech,Priya Patel,Closed Won,2/11/2026,2/13/2026,2,2/16/2026,2/19/2026,3/1/2026,19432.48,FALSE
L-0163,1/31/2026,LinkedIn,SMB (11-50),HealthTech,Priya Patel,MQL,2/5/2026,,,,,,0,FALSE
L-0164,9/28/2025,LinkedIn,Startup (1-10),FinTech,Tom Wilson,Demo Completed,10/2/2025,10/15/2025,13,10/15/2025,,,0,FALSE
L-0165,4/9/2025,Organic Search,Mid-Market (51-200),EdTech,Alex Thompson,Demo Completed,4/10/2025,4/24/2025,14,4/24/2025,,,0,FALSE
L-0166,2/18/2026,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Demo Completed,2/20/2026,2/24/2026,4,2/25/2026,,,0,FALSE
L-0167,11/29/2025,Paid Ads,SMB (11-50),Logistics,Tom Wilson,Demo Booked,12/1/2025,12/2/2025,1,,,,0,FALSE
L-0168,9/21/2025,Organic Search,SMB (11-50),HR Tech,Priya Patel,Lead,,,,,,,0,FALSE
L-0169,11/4/2025,Organic Search,SMB (11-50),Marketing,Maria Santos,MQL,11/9/2025,,,,,,0,FALSE
L-0170,9/15/2025,Paid Ads,Startup (1-10),HealthTech,Maria Santos,Lead,,,,,,,0,FALSE
L-0171,3/20/2026,Paid Ads,SMB (11-50),Logistics,James Chen,Closed Lost,3/24/2026,4/7/2026,14,4/7/2026,4/13/2026,,0,FALSE
L-0172,6/13/2025,Organic Search,Mid-Market (51-200),E-commerce,Maria Santos,Lead,,,,,,,0,FALSE
L-0173,7/30/2025,Referral,SMB (11-50),E-commerce,Maria Santos,Closed Won,8/2/2025,8/3/2025,1,8/5/2025,8/12/2025,8/23/2025,12353.52,FALSE
L-0174,7/5/2025,Referral,Startup (1-10),HealthTech,Maria Santos,MQL,7/9/2025,,,,,,0,FALSE
L-0175,2/8/2026,Paid Ads,Mid-Market (51-200),HR Tech,James Chen,Demo Booked,2/12/2026,2/14/2026,2,,,,0,FALSE
L-0176,3/30/2026,Organic Search,Startup (1-10),EdTech,Alex Thompson,Demo Booked,4/4/2026,4/11/2026,7,,,,0,FALSE
L-0177,7/12/2025,Referral,Mid-Market (51-200),SaaS,Maria Santos,MQL,7/14/2025,,,,,,0,FALSE
L-0178,1/8/2026,Paid Ads,SMB (11-50),EdTech,Priya Patel,Demo Booked,1/9/2026,1/13/2026,4,,,,0,FALSE
L-0179,11/17/2025,LinkedIn,Startup (1-10),EdTech,Maria Santos,Demo Booked,11/22/2025,11/24/2025,2,,,,0,FALSE
L-0180,6/24/2025,Paid Ads,Startup (1-10),E-commerce,Alex Thompson,Demo Booked,6/26/2025,6/29/2025,3,,,,0,FALSE
L-0181,12/30/2025,Organic Search,Startup (1-10),Marketing,Tom Wilson,Demo Completed,1/1/2026,1/8/2026,7,1/10/2026,,,0,FALSE
L-0182,4/24/2025,Organic Search,Mid-Market (51-200),FinTech,Maria Santos,Lead,,,,,,,0,FALSE
L-0183,10/31/2025,LinkedIn,Startup (1-10),SaaS,Tom Wilson,Demo Booked,11/1/2025,11/4/2025,3,,,,0,FALSE
L-0184,6/20/2025,Referral,Startup (1-10),HealthTech,Maria Santos,Closed Won,6/24/2025,6/27/2025,3,6/29/2025,7/6/2025,7/25/2025,2870.76,FALSE
L-0185,8/15/2025,Organic Search,SMB (11-50),HR Tech,Maria Santos,Demo Completed,8/17/2025,8/28/2025,11,8/29/2025,,,0,FALSE
L-0186,12/12/2025,Cold Outreach,Mid-Market (51-200),SaaS,James Chen,Lead,,,,,,,0,FALSE
L-0187,5/17/2025,Organic Search,Mid-Market (51-200),HR Tech,Maria Santos,Lead,,,,,,,0,FALSE
L-0188,9/28/2025,Organic Search,Enterprise (200+),SaaS,Tom Wilson,Demo Booked,10/1/2025,10/5/2025,4,,,,0,FALSE
L-0189,10/5/2025,Organic Search,Enterprise (200+),EdTech,Priya Patel,Demo Completed,10/6/2025,10/8/2025,2,10/11/2025,,,0,FALSE
L-0190,5/20/2025,Paid Ads,Enterprise (200+),HealthTech,James Chen,MQL,5/23/2025,,,,,,0,FALSE
L-0191,4/21/2025,Organic Search,Startup (1-10),Logistics,Tom Wilson,MQL,4/23/2025,,,,,,0,FALSE
L-0192,12/20/2025,LinkedIn,SMB (11-50),E-commerce,Tom Wilson,Demo Completed,12/25/2025,1/8/2026,14,1/10/2026,,,0,FALSE
L-0193,4/9/2025,Organic Search,SMB (11-50),Marketing,Priya Patel,MQL,4/10/2025,,,,,,0,FALSE
L-0194,11/29/2025,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,Churned,12/4/2025,12/5/2025,1,12/8/2025,12/14/2025,1/8/2026,46446.16,TRUE
L-0195,3/20/2026,Paid Ads,SMB (11-50),E-commerce,Priya Patel,MQL,3/25/2026,,,,,,0,FALSE
L-0196,12/22/2025,Cold Outreach,Mid-Market (51-200),FinTech,James Chen,MQL,12/25/2025,,,,,,0,FALSE
L-0197,12/29/2025,Organic Search,SMB (11-50),E-commerce,Priya Patel,Demo Booked,1/1/2026,1/4/2026,3,,,,0,FALSE
L-0198,3/27/2026,Paid Ads,Startup (1-10),Marketing,Alex Thompson,Demo Booked,3/31/2026,4/13/2026,13,,,,0,FALSE
L-0199,9/24/2025,Paid Ads,Startup (1-10),Logistics,Priya Patel,Lead,,,,,,,0,FALSE
L-0200,9/25/2025,LinkedIn,Startup (1-10),Marketing,Maria Santos,Lead,,,,,,,0,FALSE
L-0201,1/1/2026,Referral,Mid-Market (51-200),SaaS,James Chen,Closed Won,1/6/2026,1/12/2026,6,1/13/2026,1/18/2026,2/1/2026,19574.73,FALSE
L-0202,1/7/2026,LinkedIn,Startup (1-10),E-commerce,Maria Santos,Lead,,,,,,,0,FALSE
L-0203,2/28/2026,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Demo Completed,3/3/2026,3/9/2026,6,3/9/2026,,,0,FALSE
L-0204,10/21/2025,Paid Ads,Enterprise (200+),E-commerce,Maria Santos,Lead,,,,,,,0,FALSE
L-0205,4/5/2025,Paid Ads,Mid-Market (51-200),Marketing,Maria Santos,Demo Booked,4/10/2025,4/13/2025,3,,,,0,FALSE
L-0206,11/26/2025,Organic Search,Enterprise (200+),E-commerce,Tom Wilson,Demo Completed,11/27/2025,12/6/2025,9,12/8/2025,,,0,FALSE
